Kategoria,Rok,Liczba,Suma,Średnia,Mediana,Odch.std,Min,Q1,Q3,Max,Rozstęp,IQR,Wsp.zm.(%),Skośność,Kurtoza
wina pieszych - ogółem,2020,16,1385,86.56,76.0,53.07,15,48.75,128.25,185,170,79.5,61.31,0.51,-0.76
wina pieszych - ogółem,2021,16,1218,76.12,64.5,49.74,16,40.5,112.75,162,146,72.25,65.35,0.51,-1.04
wina pieszych - ogółem,2022,16,1085,67.81,54.0,42.58,11,37.25,107.25,147,136,70.0,62.79,0.43,-1.1
wina pieszych - ogółem,2023,16,1007,62.94,57.0,40.05,11,33.25,89.25,130,119,56.0,63.64,0.35,-1.02
wina pieszych - ogółem,2024,16,971,60.69,41.0,42.68,12,29.75,95.75,142,130,66.0,70.33,0.6,-1.06
wina pieszych - nieostrożne wejście na jezdnię,2020,16,830,51.88,48.0,31.78,8,27.75,72.0,116,108,44.25,61.27,0.6,-0.51
wina pieszych - nieostrożne wejście na jezdnię,2021,16,759,47.44,41.5,30.63,9,26.5,65.75,110,101,39.25,64.57,0.61,-0.57
wina pieszych - nieostrożne wejście na jezdnię,2022,16,678,42.38,39.5,25.05,5,25.25,59.25,83,78,34.0,59.12,0.18,-1.1
wina pieszych - nieostrożne wejście na jezdnię,2023,16,622,38.88,37.0,25.44,6,19.5,50.5,85,79,31.0,65.43,0.41,-0.79
wina pieszych - nieostrożne wejście na jezdnię,2024,16,558,34.88,27.0,22.42,8,17.75,51.0,74,66,33.25,64.28,0.46,-1.24
wina pieszych - pozostałe,2020,16,555,34.69,26.0,23.42,7,17.0,51.0,83,76,34.0,67.53,0.64,-0.64
wina pieszych - pozostałe,2021,16,459,28.69,22.0,20.52,4,12.5,43.25,74,70,30.75,71.51,0.76,-0.31
wina pieszych - pozostałe,2022,16,407,25.44,16.0,18.86,6,10.5,40.25,64,58,29.75,74.13,0.76,-0.85
wina pieszych - pozostałe,2023,16,385,24.06,18.5,15.58,3,13.75,38.0,52,49,24.25,64.75,0.38,-1.21
wina pieszych - pozostałe,2024,16,413,25.81,16.0,21.36,4,9.75,41.75,68,64,32.0,82.75,0.89,-0.61
